Net	Length
GND	0.00
/S9R	2022.57
/S9D	30.64
/S8R	2032.95
/S8D	32.05
/S7R	2043.33
/S7D	36.24
/S6R	2053.71
/S6D	40.43
/S5R	2064.09
/S5D	50.32
/S4R	2074.47
/S4D	60.44
/S48R	1505.34
/S48D	340.79
/S47R	1520.48
/S47D	327.26
/S46R	1534.26
/S46D	313.27
/S45R	1547.96
/S45D	300.25
/S44R	1561.60
/S44D	285.25
/S43R	1575.15
/S43D	275.14
/S42R	1588.63
/S42D	265.02
/S41R	1601.37
/S41D	254.91
/S40R	1615.45
/S40D	244.79
/S3R	2084.85
/S3D	70.55
/S39R	1625.83
/S39D	234.68
/S38R	1636.21
/S38D	224.56
/S37R	1646.59
/S37D	214.44
/S36R	1656.97
/S36D	204.33
/S35R	1667.35
/S35D	194.21
/S34R	1677.73
/S34D	184.10
/S33R	1688.11
/S33D	173.98
/S32R	1741.17
/S32D	206.55
/S31R	1751.54
/S31D	196.60
/S30R	1761.92
/S30D	186.32
/S2R	2095.23
/S2D	80.67
/S29R	1772.30
/S29D	176.20
/S28R	1782.68
/S28D	166.09
/S27R	1793.06
/S27D	155.97
/S26R	1803.44
/S26D	145.86
/S25R	1813.82
/S25D	135.74
/S24R	1824.20
/S24D	125.62
/S23R	1834.58
/S23D	115.51
/S22R	1844.96
/S22D	105.39
/S21R	1855.34
/S21D	95.28
/S20R	1865.72
/S20D	85.16
/S1R	2105.61
/S1D	90.89
/S19R	1876.10
/S19D	75.05
/S18R	1886.48
/S18D	64.93
/S17R	1896.86
/S17D	54.82
/S16R	1949.92
/S16D	87.38
/S15R	1960.30
/S15D	77.27
/S14R	1970.68
/S14D	67.15
/S13R	1981.06
/S13D	57.03
/S12R	1991.44
/S12D	46.92
/S11R	2001.82
/S11D	39.02
/S10R	2012.20
/S10D	34.83
