Net	Length
GND	0.00
/S9R	2238.67
/S9D	31.17
/S8R	2248.13
/S8D	31.52
/S7R	2257.61
/S7D	35.71
/S6R	2267.07
/S6D	39.90
/S5R	2276.53
/S5D	49.07
/S4R	2286.00
/S4D	59.17
/S48R	1757.01
/S48D	342.22
/S47R	1770.75
/S47D	328.49
/S46R	1783.16
/S46D	314.65
/S45R	1795.51
/S45D	301.56
/S44R	1807.77
/S44D	286.53
/S43R	1819.98
/S43D	276.67
/S42R	1832.12
/S42D	266.30
/S41R	1844.20
/S41D	256.18
/S40R	1855.76
/S40D	246.07
/S3R	2295.47
/S3D	69.29
/S39R	1869.30
/S39D	235.95
/S38R	1878.77
/S38D	225.83
/S37R	1888.23
/S37D	215.85
/S36R	1897.70
/S36D	205.60
/S35R	1907.16
/S35D	195.48
/S34R	1916.63
/S34D	185.38
/S33R	1926.10
/S33D	175.12
/S32R	1978.24
/S32D	207.82
/S31R	1987.72
/S31D	197.70
/S30R	1997.18
/S30D	187.59
/S2R	2304.93
/S2D	79.41
/S29R	2006.65
/S29D	177.47
/S28R	2016.12
/S28D	167.36
/S27R	2025.58
/S27D	157.24
/S26R	2035.05
/S26D	147.12
/S25R	2044.52
/S25D	137.01
/S24R	2053.98
/S24D	126.90
/S23R	2063.44
/S23D	116.78
/S22R	2072.92
/S22D	106.67
/S21R	2082.38
/S21D	96.55
/S20R	2091.85
/S20D	86.43
/S1R	2314.41
/S1D	89.54
/S19R	2101.32
/S19D	76.32
/S18R	2110.78
/S18D	66.20
/S17R	2120.25
/S17D	56.09
/S16R	2172.39
/S16D	88.66
/S15R	2181.88
/S15D	78.55
/S14R	2191.33
/S14D	68.43
/S13R	2200.79
/S13D	58.32
/S12R	2210.27
/S12D	48.20
/S11R	2219.73
/S11D	39.55
/S10R	2229.20
/S10D	35.36
